priority,action,id,title,mediaTitle,block,flagship,sources,hasEn,templateScore,templateHits,legacyDuplicate,legacyTitle,legacyOverlap,aiFields,readingTimeMinutes
10,defer,tf26-108-constitution,Anayasa Tartışması,Hamilton,hamilton,yes,2,yes,0,,,,0,,3
10,defer,tf26-112-railroad-frontier,Demiryolu Sınırı,Red Dead Redemption,red-dead-redemption,yes,2,yes,0,,,,0,,6
10,defer,tf26-116-boomtowns,Patlama Kasabaları,Red Dead Redemption,red-dead-redemption,yes,2,yes,0,,,,0,,6
10,defer,tf26-124-messengers,Cephe Habercileri,1917,1917,yes,2,yes,0,,,,0,,3
10,defer,tf26-128-war-horses,Savaş Atları,1917,1917,yes,2,yes,0,,,,0,,3
10,defer,tf26-132-operation-fortitude,Fortitude Aldatması,Saving Private Ryan,saving-private-ryan,yes,2,yes,0,,,,0,,3
10,defer,tf26-136-canadian-beaches,Kanada Sahilleri,Saving Private Ryan,saving-private-ryan,yes,2,yes,0,,,,0,,3
10,defer,tf26-140-memory,D-Day Hafızası,Saving Private Ryan,saving-private-ryan,yes,2,yes,0,,,,0,,3
10,defer,tf26-144-hanford,Hanford,Oppenheimer,oppenheimer,yes,2,yes,0,,,,0,,3
10,defer,tf26-148-hiroshima-context,Hiroşima Bağlamı,Oppenheimer,oppenheimer,yes,2,yes,0,,,,0,,3
10,defer,tf26-156-soviet-secrecy,Sovyet Gizliliği,Chernobyl,chernobyl,yes,2,yes,0,,,,0,,3
10,defer,tf26-160-energy-politics,Enerji Siyaseti,Chernobyl,chernobyl,yes,2,yes,0,,,,0,,3
10,defer,tf26-164-apollo-11,Apollo 11,Hidden Figures,hidden-figures,yes,2,yes,0,,,,0,,3
10,defer,tf26-168-computers-transition,Bilgisayara Geçiş,Hidden Figures,hidden-figures,yes,2,yes,0,,,,0,,3
10,defer,tf26-172-bootlegging,Kaçak İçki,Boardwalk Empire,boardwalk-empire,yes,2,yes,0,,,,0,,3
10,defer,tf26-176-women-reformers,Kadın Reformcular,Boardwalk Empire,boardwalk-empire,yes,2,yes,0,,,,0,,3
10,defer,tf26-180-public-health,Kamu Sağlığı,Boardwalk Empire,boardwalk-empire,yes,2,yes,0,,,,0,,3
10,defer,tf26-184-royal-media,Saray ve Medya,The Crown,the-crown,yes,2,yes,0,,,,0,,3
10,defer,tf26-188-royal-finance,Kraliyet Finansmanı,The Crown,the-crown,yes,2,yes,0,,,,0,,3
10,defer,tf26-192-quarantine,Karantina Fikri,Period Films,period-films,yes,2,yes,0,,,,0,,3
10,defer,tf26-196-medieval-hygiene,Orta Çağ Temizliği,Period Films,period-films,yes,2,yes,0,,,,0,,3
10,defer,tf26-200-memory,Kara Ölüm Hafızası,Period Films,period-films,yes,2,yes,0,,,,0,,3
0,defer,tf26-001-alexandria-library,İskenderiye Kütüphanesi,Assassin's Creed Origins,assassins-creed-origins,no,2,yes,0,,,,0,,3
0,defer,tf26-002-nile-floods,Nil Taşkınları,Assassin's Creed Origins,assassins-creed-origins,no,2,yes,0,,,,0,,3
0,defer,tf26-003-mummification,Mumyalama Gerçeği,Assassin's Creed Origins,assassins-creed-origins,no,2,yes,0,,,,0,,3
0,defer,tf26-005-cleopatra-politics,Kleopatra'nın Siyaseti,Assassin's Creed Origins,assassins-creed-origins,no,2,yes,0,,,,0,,3
0,defer,tf26-006-animal-cults,Hayvan Kültleri,Assassin's Creed Origins,assassins-creed-origins,no,2,yes,0,,,,0,,3
0,defer,tf26-007-pyramids-labor,Piramit İşçileri,Assassin's Creed Origins,assassins-creed-origins,no,2,yes,0,,,,0,,5
0,defer,tf26-009-desert-routes,Çöl Yolları,Assassin's Creed Origins,assassins-creed-origins,no,2,yes,0,,,,0,,3
0,defer,tf26-010-afterlife,Ölümden Sonra Yaşam,Assassin's Creed Origins,assassins-creed-origins,no,2,yes,0,,,,0,,3
0,defer,tf26-011-arena-politics,Arena ve Siyaset,Gladiator,gladiator,no,2,yes,0,,,,0,,3
0,defer,tf26-013-legion-discipline,Lejyon Disiplini,Gladiator,gladiator,no,2,yes,0,,,,0,,3
0,defer,tf26-014-citizenship,Roma Yurttaşlığı,Gladiator,gladiator,no,2,yes,0,,,,0,,3
0,defer,tf26-015-roads,Roma Yolları,Gladiator,gladiator,no,2,yes,0,,,,0,,3
0,defer,tf26-018-provincial-life,Eyaletlerde Yaşam,Gladiator,gladiator,no,2,yes,0,,,,0,,3
0,defer,tf26-019-colosseum-labor,Kolezyumun Bedeli,Gladiator,gladiator,no,2,yes,0,,,,0,,3
0,defer,tf26-021-athenian-democracy,Atina Demokrasisi,Assassin's Creed Odyssey,assassins-creed-odyssey,no,2,yes,0,,ac-odyssey-athens,Renkli Atina,50,,3
0,defer,tf26-022-sparta-childhood,Sparta Eğitimi,Assassin's Creed Odyssey,assassins-creed-odyssey,no,2,yes,0,,,,0,,3
0,defer,tf26-023-peloponnesian-war,Peloponez Savaşı,Assassin's Creed Odyssey,assassins-creed-odyssey,no,2,yes,0,,,,0,,3
0,defer,tf26-025-olympic-games,Antik Olimpiyatlar,Assassin's Creed Odyssey,assassins-creed-odyssey,no,2,yes,0,,,,0,,3
0,defer,tf26-026-triremes,Trirem Savaşları,Assassin's Creed Odyssey,assassins-creed-odyssey,no,2,yes,0,,,,0,,3
0,defer,tf26-027-slavery,Yunan Köleliği,Assassin's Creed Odyssey,assassins-creed-odyssey,no,2,yes,0,,,,0,,3
0,defer,tf26-029-myth-history,Mit ve Tarih,Assassin's Creed Odyssey,assassins-creed-odyssey,no,2,yes,0,,,,0,,3
0,defer,tf26-030-persian-wars,Pers Savaşları,Assassin's Creed Odyssey,assassins-creed-odyssey,no,2,yes,0,,,,0,,3
0,defer,tf26-031-longships,Uzun Gemiler,Vikings,vikings,no,2,yes,0,,,,0,,3
0,defer,tf26-033-runes,Rün Yazıları,Vikings,vikings,no,2,yes,0,,,,0,,3
0,defer,tf26-034-norse-religion,Nors İnancı,Vikings,vikings,no,2,yes,0,,,,0,,3
0,defer,tf26-035-danelaw,Danelaw Düzeni,Vikings,vikings,no,2,yes,0,,,,0,,3
0,defer,tf26-037-shieldmaidens,Kalkanlı Kadınlar,Vikings,vikings,no,2,yes,0,,,,0,,3
0,defer,tf26-039-christianization,Hristiyanlaşma,Vikings,vikings,no,2,yes,0,,,,0,,3
0,defer,tf26-042-burhs,Burh Savunmaları,The Last Kingdom,the-last-kingdom,no,2,yes,0,,,,0,,3
0,defer,tf26-043-wessex,Wessex'in Yükselişi,The Last Kingdom,the-last-kingdom,no,2,yes,0,,,,0,,3
0,defer,tf26-045-law-codes,Kanun Metinleri,The Last Kingdom,the-last-kingdom,no,2,yes,0,,,,0,,3
0,defer,tf26-046-monasteries,Manastır Dünyası,The Last Kingdom,the-last-kingdom,no,2,yes,0,,,,0,,3
0,defer,tf26-047-shield-wall,Kalkan Duvarı,The Last Kingdom,the-last-kingdom,no,2,yes,0,,,,0,,3
0,defer,tf26-049-norman-conquest,Norman Fethi,The Last Kingdom,the-last-kingdom,no,2,yes,0,,,,0,,3
0,defer,tf26-050-bayeux-tapestry,Bayeux Halısı,The Last Kingdom,the-last-kingdom,no,2,yes,0,,,,0,,3
0,defer,tf26-055-archery,Atlı Okçuluk,Ghost of Tsushima,ghost-of-tsushima,no,2,yes,0,,,,0,,3
0,defer,tf26-058-peasants-war,Köylüler ve Savaş,Ghost of Tsushima,ghost-of-tsushima,no,2,yes,0,,,,0,,3
0,defer,tf26-059-shrine-culture,Tapınak Kültürü,Ghost of Tsushima,ghost-of-tsushima,no,2,yes,0,,,,0,,3
0,defer,tf26-061-daimyo-politics,Daimyo Siyaseti,Shogun,shogun,no,2,yes,0,,,,0,,3
0,defer,tf26-062-foreign-pilots,Yabancı Denizciler,Shogun,shogun,no,2,yes,0,,,,0,,3
0,defer,tf26-063-jesuit-missions,Cizvit Misyonları,Shogun,shogun,no,2,yes,0,,,,0,,3
0,defer,tf26-065-tea-ceremony,Çay Töreni,Shogun,shogun,no,2,yes,0,,,,0,,3
0,defer,tf26-066-castle-towns,Kale Şehirleri,Shogun,shogun,no,2,yes,0,,,,0,,3
0,defer,tf26-067-seppuku,Seppuku Gerçeği,Shogun,shogun,no,2,yes,0,,,,0,,3
0,defer,tf26-069-sekigahara,Sekigahara Sonrası,Shogun,shogun,no,2,yes,0,,,,0,,3
0,defer,tf26-070-edo-peace,Edo Barışı,Shogun,shogun,no,2,yes,0,,,,0,,3
0,defer,tf26-071-village-life,Köy Hayatı,Kingdom Come: Deliverance,kingdom-come-deliverance,no,2,yes,0,,,,0,,3
0,defer,tf26-073-noble-duty,Soylu Yükümlülüğü,Kingdom Come: Deliverance,kingdom-come-deliverance,no,2,yes,0,,,,0,,3
0,defer,tf26-074-church-calendar,Kilise Takvimi,Kingdom Come: Deliverance,kingdom-come-deliverance,no,2,yes,0,,,,0,,3
0,defer,tf26-075-armor-cost,Zırhın Bedeli,Kingdom Come: Deliverance,kingdom-come-deliverance,no,2,yes,0,,,,0,,3
0,defer,tf26-079-sieges,Kuşatma Gerçeği,Kingdom Come: Deliverance,kingdom-come-deliverance,no,2,yes,0,,,,0,,3
0,defer,tf26-081-privateers,Privateer Gerçeği,Pirates of the Caribbean,pirates-of-the-caribbean,no,2,yes,0,,,,0,,3
0,defer,tf26-082-blackbeard,Karasakal Efsanesi,Pirates of the Caribbean,pirates-of-the-caribbean,no,2,yes,0,,,,0,,3
0,defer,tf26-083-pirate-code,Korsan Kuralları,Pirates of the Caribbean,pirates-of-the-caribbean,no,2,yes,0,,,,0,,3
0,defer,tf26-085-port-royal,Port Royal,Pirates of the Caribbean,pirates-of-the-caribbean,no,2,yes,0,,,,0,,3
0,defer,tf26-086-women-pirates,Kadın Korsanlar,Pirates of the Caribbean,pirates-of-the-caribbean,no,2,yes,0,,,,0,,3
0,defer,tf26-087-naval-punishment,Deniz Cezaları,Pirates of the Caribbean,pirates-of-the-caribbean,no,2,yes,0,,,,0,,3
0,defer,tf26-089-enslaved-labor,Köle Emeği,Pirates of the Caribbean,pirates-of-the-caribbean,no,2,yes,0,,,,0,,3
0,defer,tf26-090-pirate-democracy,Korsan Demokrasisi,Pirates of the Caribbean,pirates-of-the-caribbean,no,2,yes,0,,,,0,,3
0,defer,tf26-091-bastille,Bastille Günü,Assassin's Creed Unity,assassins-creed-unity,no,2,yes,0,,,,0,,3
0,defer,tf26-093-estates-general,Etats Generaux,Assassin's Creed Unity,assassins-creed-unity,no,2,yes,0,,,,0,,3
0,defer,tf26-094-declaration-rights,Haklar Bildirisi,Assassin's Creed Unity,assassins-creed-unity,no,2,yes,0,,,,0,,3
0,defer,tf26-095-reign-terror,Terör Dönemi,Assassin's Creed Unity,assassins-creed-unity,no,2,yes,0,,,,0,,3
0,defer,tf26-097-women-march,Kadınların Yürüyüşü,Assassin's Creed Unity,assassins-creed-unity,no,2,yes,0,,,,0,,3
0,defer,tf26-098-revolutionary-calendar,Devrim Takvimi,Assassin's Creed Unity,assassins-creed-unity,no,2,yes,0,,,,0,,3
0,defer,tf26-099-vendee,Vendée Direnişi,Assassin's Creed Unity,assassins-creed-unity,no,2,yes,0,,,,0,,3
0,defer,tf26-101-declaration,Bağımsızlık Bildirisi,Hamilton,hamilton,no,2,yes,0,,,,0,,3
0,defer,tf26-102-hamilton-finance,Hamilton'ın Finans Sistemi,Hamilton,hamilton,no,2,yes,0,,,,0,,3
0,defer,tf26-103-federalists,Federalistler,Hamilton,hamilton,no,2,yes,0,,,,0,,3
0,defer,tf26-105-dueling-culture,Düello Kültürü,Hamilton,hamilton,no,2,yes,0,,,,0,,3
0,defer,tf26-106-loyalists,Loyalistler,Hamilton,hamilton,no,2,yes,0,,,,0,,3
0,defer,tf26-107-french-alliance,Fransız İttifakı,Hamilton,hamilton,no,2,yes,0,,,,0,,3
0,defer,tf26-109-native-nations,Yerli Uluslar,Hamilton,hamilton,no,2,yes,0,,,,0,,3
0,defer,tf26-110-burr-hamilton,Burr ve Hamilton,Hamilton,hamilton,no,2,yes,0,,,,0,,3
0,defer,tf26-111-outlaw-myth,Kanunsuz Efsanesi,Red Dead Redemption,red-dead-redemption,no,2,yes,0,,,,0,,3
0,defer,tf26-113-cattle-drives,Sığır Sürüşleri,Red Dead Redemption,red-dead-redemption,no,2,yes,0,,,,0,,3
0,defer,tf26-114-pinkertons,Dedektif Ajansları,Red Dead Redemption,red-dead-redemption,no,2,yes,0,,,,0,,3
0,defer,tf26-115-reservation-system,Rezervasyon Sistemi,Red Dead Redemption,red-dead-redemption,no,2,yes,0,,,,0,,3
0,defer,tf26-117-frontier-law,Sınır Hukuku,Red Dead Redemption,red-dead-redemption,no,2,yes,0,,,,0,,3
0,defer,tf26-118-bounty-hunters,Ödül Avcıları,Red Dead Redemption,red-dead-redemption,no,2,yes,0,,,,0,,3
0,defer,tf26-119-women-frontier,Sınırda Kadınlar,Red Dead Redemption,red-dead-redemption,no,2,yes,0,,,,0,,3
0,defer,tf26-122-artillery,Topçu Ateşi,1917,1917,no,2,yes,0,,,,0,,3
0,defer,tf26-123-no-mans-land,Sahipsiz Bölge,1917,1917,no,2,yes,0,,,,0,,3
0,defer,tf26-126-shell-shock,Savaş Travması,1917,1917,no,2,yes,0,,,,0,,3
0,defer,tf26-127-colonial-troops,Sömürge Askerleri,1917,1917,no,2,yes,0,,,,0,,3
0,defer,tf26-129-armistice,Ateşkes Anı,1917,1917,no,2,yes,0,,,,0,,3
0,defer,tf26-130-home-front,Cephe Gerisi,1917,1917,no,2,yes,0,,,,0,,3
0,defer,tf26-133-airborne,Hava İndirmeleri,Saving Private Ryan,saving-private-ryan,no,2,yes,0,,,,0,,3
0,defer,tf26-134-mulberry-harbours,Yapay Limanlar,Saving Private Ryan,saving-private-ryan,no,2,yes,0,,,,0,,3
0,defer,tf26-135-hedgerows,Çitli Arazi,Saving Private Ryan,saving-private-ryan,no,2,yes,0,,,,0,,3
0,defer,tf26-137-french-civilians,Fransız Siviller,Saving Private Ryan,saving-private-ryan,no,2,yes,0,,,,0,,3
0,defer,tf26-138-medics,Cephe Sıhhiyecileri,Saving Private Ryan,saving-private-ryan,no,2,yes,0,,,,0,,3
0,defer,tf26-139-german-defenses,Atlantik Duvarı,Saving Private Ryan,saving-private-ryan,no,2,yes,0,,,,0,,3
0,defer,tf26-142-trinity-test,Trinity Deneyi,Oppenheimer,oppenheimer,no,2,yes,0,,oppenheimer-trinity,Trinity Deneyi,100,,3
0,defer,tf26-143-oak-ridge,Oak Ridge,Oppenheimer,oppenheimer,no,2,yes,0,,,,0,,3
0,defer,tf26-145-security,Gizlilik Düzeni,Oppenheimer,oppenheimer,no,2,yes,0,,,,0,,3
0,defer,tf26-146-women-workers,Gizli Kadın Emeği,Oppenheimer,oppenheimer,no,2,yes,0,,,,0,,3
0,defer,tf26-150-cold-war-start,Soğuk Savaş Gölgesi,Oppenheimer,oppenheimer,no,2,yes,0,,,,0,,3
0,defer,tf26-151-reactor-test,Reaktör Testi,Chernobyl,chernobyl,no,2,yes,0,,chernobyl-disaster,4 Numaralı Reaktör,50,,3
0,defer,tf26-153-liquidators,Tasfiye Ekipleri,Chernobyl,chernobyl,no,2,yes,0,,,,0,,3
0,defer,tf26-155-radiation-myth,Radyasyon Korkusu,Chernobyl,chernobyl,no,2,yes,0,,,,0,,3
0,defer,tf26-157-firefighters,İtfaiyeciler,Chernobyl,chernobyl,no,2,yes,0,,,,0,,3
0,defer,tf26-158-exclusion-zone,Dışlama Bölgesi,Chernobyl,chernobyl,no,2,yes,0,,,,0,,3
0,defer,tf26-159-trial,Mahkeme Anlatısı,Chernobyl,chernobyl,no,2,yes,0,,,,0,,3
0,defer,tf26-161-human-computers,İnsan Bilgisayarlar,Hidden Figures,hidden-figures,no,2,yes,0,,,,0,,3
0,defer,tf26-162-segregation,Ayrımcılık Sistemi,Hidden Figures,hidden-figures,no,2,yes,0,,,,0,,3
0,defer,tf26-163-mercury-program,Mercury Programı,Hidden Figures,hidden-figures,no,2,yes,0,,,,0,,3
0,defer,tf26-165-katherine-johnson,Katherine Johnson,Hidden Figures,hidden-figures,no,2,yes,0,,,,0,,3
0,defer,tf26-166-cold-war-prestige,Soğuk Savaş Prestiji,Hidden Figures,hidden-figures,no,2,yes,0,,,,0,,3
0,defer,tf26-167-mission-control,Görev Kontrol,Hidden Figures,hidden-figures,no,2,yes,0,,,,0,,3
0,defer,tf26-169-risk,Uzay Riskleri,Hidden Figures,hidden-figures,no,2,yes,0,,,,0,,3
0,defer,tf26-170-public-memory,Uzay Hafızası,Hidden Figures,hidden-figures,no,2,yes,0,,,,0,,3
0,defer,tf26-171-speakeasies,Gizli Barlar,Boardwalk Empire,boardwalk-empire,no,2,yes,0,,,,0,,3
0,defer,tf26-173-temperance,Ahlak Hareketi,Boardwalk Empire,boardwalk-empire,no,2,yes,0,,,,0,,3
0,defer,tf26-174-federal-enforcement,Federal Uygulama,Boardwalk Empire,boardwalk-empire,no,2,yes,0,,,,0,,3
0,defer,tf26-175-organized-crime,Organize Suç,Boardwalk Empire,boardwalk-empire,no,2,yes,0,,,,0,,3
0,defer,tf26-177-repeal,Yasağın Kalkması,Boardwalk Empire,boardwalk-empire,no,2,yes,0,,,,0,,3
0,defer,tf26-178-jazz-age,Caz Çağı,Boardwalk Empire,boardwalk-empire,no,2,yes,0,,,,0,,3
0,defer,tf26-179-corruption,Yolsuzluk,Boardwalk Empire,boardwalk-empire,no,2,yes,0,,,,0,,3
0,defer,tf26-181-constitutional-role,Anayasal Rol,The Crown,the-crown,no,2,yes,0,,,,0,,3
0,defer,tf26-183-commonwealth,Commonwealth,The Crown,the-crown,no,2,yes,0,,,,0,,3
0,defer,tf26-186-prime-ministers,Başbakanlarla İlişki,The Crown,the-crown,no,2,yes,0,,,,0,,3
0,defer,tf26-187-public-grief,Kamusal Yas,The Crown,the-crown,no,2,yes,0,,,,0,,3
0,defer,tf26-189-empire-memory,İmparatorluk Hafızası,The Crown,the-crown,no,2,yes,0,,,,0,,3
0,defer,tf26-190-privacy,Mahremiyet ve Görev,The Crown,the-crown,no,2,yes,0,,,,0,,3
0,defer,tf26-191-plague-spread,Vebanın Yayılışı,Period Films,period-films,no,2,yes,0,,,,0,,3
0,defer,tf26-193-flagellants,Flagellantlar,Period Films,period-films,no,2,yes,0,,,,0,,3
0,defer,tf26-194-antisemitism,Salgın ve Nefret,Period Films,period-films,no,2,yes,0,,,,0,,3
0,defer,tf26-195-labor-shortage,Emek Kıtlığı,Period Films,period-films,no,2,yes,0,,,,0,,3
0,defer,tf26-197-doctors,Veba Doktorları,Period Films,period-films,no,2,yes,0,,,,0,,3
0,defer,tf26-198-death-art,Ölüm Sanatı,Period Films,period-films,no,2,yes,0,,,,0,,3
0,defer,tf26-199-rural-impact,Kırsal Etki,Period Films,period-films,no,2,yes,0,,,,0,,3
